"day","n","group","any","rand"
9,0,1,0,2698
9,0,1,0,3052
9,0,1,0,1314
9,0,1,0,9299
9,0,1,0,7355
9,0,1,0,4399
9,0,1,0,6087
9,0,1,0,1456
9,0,1,0,6175
9,0,1,0,1012
9,0,1,0,9149
9,0,1,0,5532
9,0,1,0,4021
9,0,1,0,2126
9,0,1,0,2269
9,0,1,0,6437
9,0,1,0,3813
9,0,1,0,5213
9,0,1,0,5901
9,0,1,0,1655
9,0,1,0,9136
9,0,1,0,3695
9,0,1,0,5887
9,0,1,0,2416
9,0,1,0,3073
9,0,1,0,6399
9,0,1,0,1883
10,0,1,0,2379
10,0,1,0,2698
10,0,1,0,3052
10,0,1,0,1314
10,0,1,0,9299
10,0,1,0,7355
10,0,1,0,4399
10,2,1,1,6087
10,0,1,0,1456
10,0,1,0,6175
10,0,1,0,1012
10,0,1,0,9149
10,1,1,1,5532
10,0,1,0,4021
10,0,1,0,2126
10,0,1,0,2269
10,2,1,1,6437
10,0,1,0,3813
10,0,1,0,5213
10,0,1,0,5901
10,0,1,0,1655
10,0,1,0,9136
10,0,1,0,3695
10,0,1,0,5887
10,0,1,0,2416
10,0,1,0,3073
10,0,1,0,6399
10,0,1,0,1883
11,5,1,1,2379
11,0,1,0,2698
11,0,1,0,3052
11,0,1,0,1314
11,0,1,0,9299
11,0,1,0,7355
11,0,1,0,4399
11,0,1,0,6087
11,0,1,0,1456
11,7,1,1,6175
11,9,1,1,1012
11,0,1,0,9149
11,7,1,1,5532
11,4,1,1,4021
11,0,1,0,2126
11,0,1,0,2269
11,17,1,1,6437
11,0,1,0,3813
11,0,1,0,5213
11,0,1,0,5901
11,0,1,0,1655
11,0,1,0,9136
11,0,1,0,3695
11,0,1,0,5887
11,0,1,0,2416
11,0,1,0,3073
11,0,1,0,6399
11,0,1,0,1883
12,2,1,1,2379
12,0,1,0,2698
12,0,1,0,3052
12,0,1,0,1314
12,0,1,0,9299
12,0,1,0,7355
12,0,1,0,4399
12,6,1,1,6087
12,0,1,0,1456
12,4,1,1,6175
12,8,1,1,1012
12,0,1,0,9149
12,12,1,1,5532
12,0,1,0,4021
12,0,1,0,2126
12,0,1,0,2269
12,14,1,1,6437
12,0,1,0,3813
12,0,1,0,5213
12,0,1,0,5901
12,0,1,0,1655
12,0,1,0,9136
12,0,1,0,3695
12,0,1,0,5887
12,0,1,0,2416
12,0,1,0,3073
12,0,1,0,6399
12,0,1,0,1883
13,0,1,0,2379
13,0,1,0,2698
13,0,1,0,3052
13,0,1,0,1314
13,0,1,0,9299
13,0,1,0,7355
13,0,1,0,4399
13,1,1,1,6087
13,0,1,0,1456
13,0,1,0,6175
13,2,1,1,1012
13,0,1,0,9149
13,0,1,0,5532
13,0,1,0,4021
13,0,1,0,2126
13,0,1,0,2269
13,2,1,1,6437
13,0,1,0,3813
13,0,1,0,5213
13,0,1,0,5901
13,0,1,0,1655
13,0,1,0,9136
13,0,1,0,3695
13,0,1,0,5887
13,0,1,0,2416
13,0,1,0,3073
13,0,1,0,6399
13,0,1,0,1883
14,0,1,0,2379
14,0,1,0,2698
14,0,1,0,3052
14,0,1,0,1314
14,0,1,0,9299
14,0,1,0,7355
14,0,1,0,4399
14,0,1,0,6087
14,0,1,0,1456
14,0,1,0,6175
14,0,1,0,1012
14,0,1,0,9149
14,0,1,0,5532
14,0,1,0,4021
14,0,1,0,2126
14,0,1,0,2269
14,0,1,0,6437
14,0,1,0,3813
14,0,1,0,5213
14,0,1,0,5901
14,0,1,0,1655
14,0,1,0,9136
14,0,1,0,3695
14,0,1,0,5887
14,0,1,0,2416
14,0,1,0,3073
14,0,1,0,6399
14,0,1,0,1883
15,3,1,1,2379
15,0,1,0,2698
15,0,1,0,3052
15,0,1,0,1314
15,0,1,0,9299
15,0,1,0,7355
15,0,1,0,4399
15,0,1,0,6087
15,0,1,0,1456
15,0,1,0,6175
15,2,1,1,1012
15,0,1,0,9149
15,0,1,0,5532
15,0,1,0,4021
15,0,1,0,2126
15,0,1,0,2269
15,1,1,1,6437
15,0,1,0,3813
15,0,1,0,5213
15,0,1,0,5901
15,0,1,0,1655
15,0,1,0,9136
15,0,1,0,3695
15,0,1,0,5887
15,0,1,0,2416
15,0,1,0,3073
15,0,1,0,6399
15,0,1,0,1883
16,5,1,1,2379
16,0,1,0,2698
16,0,1,0,3052
16,0,1,0,1314
16,0,1,0,9299
16,0,1,0,7355
16,0,1,0,4399
16,1,1,1,6087
16,0,1,0,1456
16,0,1,0,6175
16,4,1,1,1012
16,0,1,0,9149
16,2,1,1,5532
16,0,1,0,4021
16,0,1,0,2126
16,0,1,0,2269
16,2,1,1,6437
16,0,1,0,3813
16,0,1,0,5213
16,0,1,0,5901
16,0,1,0,1655
16,0,1,0,9136
16,0,1,0,3695
16,0,1,0,5887
16,0,1,0,2416
16,0,1,0,3073
16,0,1,0,6399
16,0,1,0,1883
17,0,1,0,2379
17,0,1,0,2698
17,0,1,0,3052
17,0,1,0,1314
17,0,1,0,9299
17,0,1,0,7355
17,0,1,0,4399
17,1,1,1,6087
17,0,1,0,1456
17,2,1,1,6175
17,3,1,1,1012
17,0,1,0,9149
17,2,1,1,5532
17,3,1,1,4021
17,0,1,0,2126
17,0,1,0,2269
17,0,1,0,6437
17,0,1,0,3813
17,0,1,0,5213
17,0,1,0,5901
17,0,1,0,1655
17,0,1,0,9136
17,0,1,0,3695
17,0,1,0,5887
17,0,1,0,2416
17,0,1,0,3073
17,0,1,0,6399
17,0,1,0,1883
18,3,1,1,2379
18,0,1,0,2698
18,0,1,0,3052
18,0,1,0,1314
18,8,1,1,9299
18,1,1,1,7355
18,0,1,0,4399
18,0,1,0,6087
18,0,1,0,1456
18,0,1,0,6175
18,6,1,1,1012
18,0,1,0,9149
18,0,1,0,5532
18,1,1,1,4021
18,0,1,0,2126
18,0,1,0,2269
18,0,1,0,6437
18,0,1,0,3813
18,0,1,0,5213
18,2,1,1,5901
18,0,1,0,1655
18,0,1,0,9136
18,0,1,0,3695
18,0,1,0,5887
18,0,1,0,2416
18,0,1,0,3073
18,0,1,0,6399
18,0,1,0,1883
19,0,1,0,2379
19,0,1,0,2698
19,0,1,0,3052
19,0,1,0,1314
19,3,1,1,9299
19,0,1,0,7355
19,0,1,0,4399
19,0,1,0,6087
19,0,1,0,1456
19,0,1,0,6175
19,2,1,1,1012
19,0,1,0,9149
19,0,1,0,5532
19,0,1,0,4021
19,0,1,0,2126
19,0,1,0,2269
19,0,1,0,6437
19,0,1,0,3813
19,0,1,0,5213
19,0,1,0,5901
19,0,1,0,1655
19,0,1,0,9136
19,0,1,0,3695
19,0,1,0,5887
19,0,1,0,2416
19,0,1,0,3073
19,0,1,0,6399
19,0,1,0,1883
20,0,1,0,2379
20,0,1,0,2698
20,0,1,0,3052
20,0,1,0,1314
20,0,1,0,9299
20,0,1,0,7355
20,0,1,0,4399
20,2,1,1,6087
20,0,1,0,1456
20,0,1,0,6175
20,3,1,1,1012
20,0,1,0,9149
20,0,1,0,5532
20,1,1,1,4021
20,0,1,0,2126
20,0,1,0,2269
20,0,1,0,6437
20,0,1,0,3813
20,0,1,0,5213
20,0,1,0,5901
20,0,1,0,1655
20,0,1,0,9136
20,0,1,0,3695
20,0,1,0,5887
20,0,1,0,2416
20,0,1,0,3073
20,0,1,0,6399
20,0,1,0,1883
21,0,1,0,2379
21,0,1,0,2698
21,0,1,0,3052
21,0,1,0,1314
21,0,1,0,9299
21,0,1,0,7355
21,0,1,0,4399
21,0,1,0,6087
21,0,1,0,1456
21,0,1,0,6175
21,0,1,0,1012
21,0,1,0,9149
21,0,1,0,5532
21,0,1,0,4021
21,0,1,0,2126
21,0,1,0,2269
21,0,1,0,6437
21,0,1,0,3813
21,0,1,0,5213
21,0,1,0,5901
21,0,1,0,1655
21,0,1,0,9136
21,0,1,0,3695
21,0,1,0,5887
21,0,1,0,2416
21,1,1,1,3073
21,0,1,0,6399
21,0,1,0,1883
22,2,1,1,2379
22,0,1,0,2698
22,0,1,0,3052
22,0,1,0,1314
22,0,1,0,9299
22,0,1,0,7355
22,0,1,0,4399
22,1,1,1,6087
22,0,1,0,1456
22,1,1,1,6175
22,0,1,0,1012
22,0,1,0,9149
22,0,1,0,5532
22,0,1,0,4021
22,0,1,0,2126
22,0,1,0,2269
22,1,1,1,6437
22,0,1,0,3813
22,0,1,0,5213
22,0,1,0,5901
22,0,1,0,1655
22,0,1,0,9136
22,0,1,0,3695
22,0,1,0,5887
22,0,1,0,2416
22,0,1,0,3073
22,0,1,0,6399
22,0,1,0,1883
23,5,1,1,2379
23,0,1,0,2698
23,0,1,0,3052
23,0,1,0,1314
23,0,1,0,9299
23,0,1,0,7355
23,0,1,0,4399
23,2,1,1,6087
23,0,1,0,1456
23,0,1,0,6175
23,0,1,0,1012
23,0,1,0,9149
23,0,1,0,5532
23,0,1,0,4021
23,0,1,0,2126
23,0,1,0,2269
23,1,1,1,6437
23,0,1,0,3813
23,0,1,0,5213
23,0,1,0,5901
23,0,1,0,1655
23,0,1,0,9136
23,0,1,0,3695
23,0,1,0,5887
23,0,1,0,2416
23,0,1,0,3073
23,0,1,0,6399
23,0,1,0,1883
24,3,1,1,2379
24,0,1,0,2698
24,0,1,0,3052
24,0,1,0,1314
24,0,1,0,9299
24,0,1,0,7355
24,0,1,0,4399
24,0,1,0,6087
24,0,1,0,1456
24,0,1,0,6175
24,0,1,0,1012
24,0,1,0,9149
24,0,1,0,5532
24,0,1,0,4021
24,0,1,0,2126
24,0,1,0,2269
24,0,1,0,6437
24,0,1,0,3813
24,0,1,0,5213
24,0,1,0,5901
24,0,1,0,1655
24,0,1,0,9136
24,0,1,0,3695
24,0,1,0,5887
24,0,1,0,2416
24,0,1,0,3073
24,0,1,0,6399
24,0,1,0,1883
25,0,1,0,2379
25,0,1,0,2698
25,0,1,0,3052
25,0,1,0,1314
25,0,1,0,9299
25,0,1,0,7355
25,0,1,0,4399
25,2,1,1,6087
25,0,1,0,1456
25,0,1,0,6175
25,0,1,0,1012
25,0,1,0,9149
25,0,1,0,5532
25,0,1,0,4021
25,0,1,0,2126
25,0,1,0,2269
25,0,1,0,6437
25,0,1,0,3813
25,0,1,0,5213
25,0,1,0,5901
25,0,1,0,1655
25,0,1,0,9136
25,0,1,0,3695
25,0,1,0,5887
25,0,1,0,2416
25,0,1,0,3073
25,0,1,0,6399
25,0,1,0,1883
26,2,1,1,2379
26,0,1,0,2698
26,0,1,0,3052
26,0,1,0,1314
26,0,1,0,9299
26,0,1,0,7355
26,0,1,0,4399
26,4,1,1,6087
26,0,1,0,1456
26,3,1,1,6175
26,1,1,1,1012
26,0,1,0,9149
26,0,1,0,5532
26,0,1,0,4021
26,0,1,0,2126
26,0,1,0,2269
26,0,1,0,6437
26,0,1,0,3813
26,0,1,0,5213
26,0,1,0,5901
26,0,1,0,1655
26,0,1,0,9136
26,0,1,0,3695
26,0,1,0,5887
26,0,1,0,2416
26,0,1,0,3073
26,0,1,0,6399
26,0,1,0,1883
27,1,1,1,2379
27,0,1,0,2698
27,0,1,0,3052
27,0,1,0,1314
27,0,1,0,9299
27,0,1,0,7355
27,0,1,0,4399
27,1,1,1,6087
27,0,1,0,1456
27,2,1,1,6175
27,5,1,1,1012
27,0,1,0,9149
27,0,1,0,5532
27,0,1,0,4021
27,0,1,0,2126
27,0,1,0,2269
27,0,1,0,6437
27,0,1,0,3813
27,0,1,0,5213
27,0,1,0,5901
27,0,1,0,1655
27,0,1,0,9136
27,0,1,0,3695
27,0,1,0,5887
27,0,1,0,2416
27,0,1,0,3073
27,0,1,0,6399
27,0,1,0,1883
28,1,1,1,2379
28,0,1,0,2698
28,0,1,0,3052
28,0,1,0,1314
28,0,1,0,9299
28,0,1,0,7355
28,0,1,0,4399
28,0,1,0,6087
28,0,1,0,1456
28,0,1,0,6175
28,2,1,1,1012
28,0,1,0,9149
28,0,1,0,5532
28,0,1,0,4021
28,0,1,0,2126
28,0,1,0,2269
28,0,1,0,6437
28,0,1,0,3813
28,0,1,0,5213
28,0,1,0,5901
28,0,1,0,1655
28,0,1,0,9136
28,0,1,0,3695
28,0,1,0,5887
28,0,1,0,2416
28,0,1,0,3073
28,0,1,0,6399
28,0,1,0,1883
29,0,1,0,2379
29,0,1,0,2698
29,0,1,0,3052
29,0,1,0,1314
29,0,1,0,9299
29,0,1,0,7355
29,0,1,0,4399
29,1,1,1,6087
29,0,1,0,1456
29,1,1,1,6175
29,0,1,0,1012
29,0,1,0,9149
29,0,1,0,5532
29,0,1,0,4021
29,0,1,0,2126
29,0,1,0,2269
29,1,1,1,6437
29,0,1,0,3813
29,0,1,0,5213
29,0,1,0,5901
29,0,1,0,1655
29,0,1,0,9136
29,0,1,0,3695
29,0,1,0,5887
29,0,1,0,2416
29,0,1,0,3073
29,0,1,0,6399
29,1,1,1,1883
30,1,1,1,2379
30,0,1,0,2698
30,0,1,0,3052
30,0,1,0,1314
30,0,1,0,9299
30,0,1,0,7355
30,0,1,0,4399
30,0,1,0,6087
30,0,1,0,1456
30,0,1,0,6175
30,2,1,1,1012
30,0,1,0,9149
30,0,1,0,5532
30,0,1,0,4021
30,0,1,0,2126
30,0,1,0,2269
30,0,1,0,6437
30,0,1,0,3813
30,0,1,0,5213
30,0,1,0,5901
30,0,1,0,1655
30,0,1,0,9136
30,0,1,0,3695
30,0,1,0,5887
30,0,1,0,2416
30,0,1,0,3073
30,0,1,0,6399
30,0,1,0,1883
31,1,1,1,2379
31,0,1,0,2698
31,0,1,0,3052
31,0,1,0,1314
31,0,1,0,9299
